/N0/D (L=1) X,/N0/D (L=1) Y,/N0/D (L=2) X,/N0/D (L=2) Y,/N0/D (L=5) X,/N0/D (L=5) Y,/N0/D (L=10) X,/N0/D (L=10) Y,/N0/D (L=25) X,/N0/D (L=25) Y,/N0/D (L=50) X,/N0/D (L=50) Y
0,0,0,0,0,0,0,0,0,0,0,0
0.1,5.902938588331139e-06,0.1,6.613556518702394e-06,0.1,7.260222896667454e-06,0.1,7.515096703468545e-06,0.1,7.67906352197673e-06,0.1,7.735767425230974e-06
0.2,1.007084024191186e-05,0.2,1.133463672810476e-05,0.2,1.251367652870735e-05,0.2,1.298551715487871e-05,0.2,1.329289927289737e-05,0.2,1.340008177989679e-05
0.3,1.258035692430822e-05,0.3,1.421777434400143e-05,0.3,1.579888535093493e-05,0.3,1.64437089134162e-05,0.3,1.686997850098455e-05,0.3,1.702001603759254e-05
0.4,1.368216584213621e-05,0.4,1.548812445545845e-05,0.4,1.730161922381795e-05,0.4,1.805802770343817e-05,0.4,1.856652801585606e-05,0.4,1.874736289216756e-05
0.5,1.40486474651857e-05,0.5,1.586275052203253e-05,0.5,1.771967052321833e-05,0.5,1.850443980179632e-05,0.5,1.90383220260994e-05,0.5,1.922940479766699e-05
0.6,1.420745875064719e-05,0.6,1.59951018784609e-05,0.6,1.783195030632941e-05,0.6,1.860998215124227e-05,0.6,1.914152227073958e-05,0.6,1.933172665223135e-05
0.7,1.430475183035122e-05,0.7,1.606851178947578e-05,0.7,1.788171823557743e-05,0.7,1.865000575521601e-05,0.7,1.917606523515323e-05,0.7,1.936377496678893e-05
0.7999999999999999,1.437682768036837e-05,0.7999999999999999,1.612130836378698e-05,0.7999999999999999,1.791378922208033e-05,0.7999999999999999,1.867340598897048e-05,0.7999999999999999,1.919442478808089e-05,0.7999999999999999,1.937960394425163e-05
0.8999999999999999,1.443611196199755e-05,0.8999999999999999,1.616463092010111e-05,0.8999999999999999,1.79389013003252e-05,0.8999999999999999,1.869088632683459e-05,0.8999999999999999,1.92074388705454e-05,0.8999999999999999,1.939019295211366e-05
0.9999999999999999,1.448800335956102e-05,0.9999999999999999,1.620281435224154e-05,0.9999999999999999,1.796063176105765e-05,0.9999999999999999,1.870571491685323e-05,0.9999999999999999,1.921821868115158e-05,0.9999999999999999,1.939863743097786e-05
1.1,1.45352345072541e-05,1.1,1.623789576318605e-05,1.1,1.798047669545284e-05,1.1,1.871915971688786e-05,1.1,1.922790348194436e-05,1.1,1.940605168138867e-05
1.2,1.457934042757492e-05,1.2,1.627096105082524e-05,1.2,1.799916615260608e-05,1.2,1.873180125060088e-05,1.2,1.923698776535828e-05,1.2,1.941291162129362e-05
1.3,1.462125116291646e-05,1.3,1.630264321395341e-05,1.3,1.801709750763889e-05,1.3,1.874393881126033e-05,1.3,1.924571421609473e-05,1.3,1.941944725508574e-05
1.4,1.46615636164212e-05,1.4,1.633333669139371e-05,1.4,1.803450527052324e-05,1.4,1.87557409920833e-05,1.4,1.925421344974758e-05,1.4,1.942578055922601e-05
1.5,1.470067868320848e-05,1.5,1.636330030798703e-05,1.5,1.805153669369831e-05,1.5,1.876730947887358e-05,1.5,1.926256098594857e-05,1.5,1.94319810605541e-05
