/N0/D (L=6) X,/N0/D (L=6) Y,/N0/D (L=12) X,/N0/D (L=12) Y,/N0/D (L=18) X,/N0/D (L=18) Y,/N0/D (L=24) X,/N0/D (L=24) Y
0,1.117674594772024e-12,0,1.226430628945395e-12,0,1.335376605775048e-12,0,1.444388698557818e-12
0.02,1.21919392065017e-12,0.02,1.430490655568655e-12,0.02,1.642156330517514e-12,0.02,1.853950431228762e-12
0.04,1.416283075714166e-12,0.04,1.82665484843435e-12,0.04,2.237742917578376e-12,0.04,2.649080335195638e-12
0.06,1.798662701709992e-12,0.06,2.595275042978573e-12,0.06,3.39327719937889e-12,0.06,4.191763188643649e-12
0.08,2.539862353348227e-12,0.08,4.085180029282179e-12,0.08,5.633191985415532e-12,0.08,7.182141967715906e-12
0.1,3.974799512689702e-12,0.1,6.969643227173441e-12,0.1,9.969703741107934e-12,0.1,1.29715807042388e-11
0.12,6.74799109653534e-12,0.12,1.254437636346018e-11,0.12,1.83508458220639e-11,0.12,2.416082704246239e-11
0.14,1.20947671507011e-11,0.14,2.329299952788034e-11,0.14,3.451068016609746e-11,0.14,4.573513494219547e-11
0.16,2.236981433888615e-11,0.16,4.395000845584561e-11,0.16,6.556759248339418e-11,0.16,8.71982036806009e-11
0.18,4.202777068121327e-11,0.18,8.347328343728396e-11,0.18,1.24990372570834e-10,0.18,1.665324094885046e-10
0.2,7.941064531324367e-11,0.2,1.58640574497243e-10,0.2,2.38006736106064e-10,0.2,3.174204058013904e-10
0.22,1.499292833676567e-10,0.22,3.004533719958165e-10,0.22,4.512347718315544e-10,0.22,6.021059652498306e-10
0.24,2.81550117782186e-10,0.24,5.651864844960569e-10,0.24,8.493039984786316e-10,0.24,1.13358956969425e-09
0.26,5.238784721924264e-10,0.26,1.052692124884269e-09,0.26,1.582394005766905e-09,0.26,2.11240649066138e-09
0.28,9.624493366653604e-10,0.28,1.935219753493949e-09,0.28,2.909603991011578e-09,0.28,3.884553379946629e-09
0.3,1.739919518144647e-09,0.3,3.500189653189405e-09,0.3,5.263336678886342e-09,0.3,7.027492924971647e-09
0.32,3.085668904173344e-09,0.32,6.209983929991592e-09,0.32,9.339317444484781e-09,0.32,1.247041496582629e-08
0.34,5.355410330645978e-09,0.34,1.0781980303051e-08,0.34,1.621710232237361e-08,0.34,2.16552369208762e-08
0.36,9.084146510160542e-09,0.36,1.829551127122992e-08,0.36,2.752110880459772e-08,0.36,3.675173118461916e-08
0.3800000000000001,1.506040507972192e-08,0.3800000000000001,3.034166568575728e-08,0.3800000000000001,4.564608712073558e-08,0.3800000000000001,6.095870298059353e-08
0.4000000000000001,2.443561792574533e-08,0.4000000000000001,4.924390879963096e-08,0.4000000000000001,7.40891364334874e-08,0.4000000000000001,9.894745819903825e-08
0.4200000000000001,3.888372292396042e-08,0.4200000000000001,7.838019549917156e-08,0.4200000000000001,1.179345451459672e-07,0.4200000000000001,1.57509448425135e-07
0.4400000000000001,6.081401771692474e-08,0.4400000000000001,1.226132727256734e-07,0.4400000000000001,1.845017934953273e-07,0.4400000000000001,2.464220660958448e-07
0.4600000000000001,9.360951163459709e-08,0.4600000000000001,1.887739371634897e-07,0.4600000000000001,2.840739294995133e-07,0.4600000000000001,3.794222204155468e-07
0.4800000000000001,1.418176931538128e-07,0.4800000000000001,2.8605027616414e-07,0.4800000000000001,4.304853329048055e-07,0.4800000000000001,5.749926515307154e-07
0.5000000000000001,2.111819277721656e-07,0.5000000000000001,4.260567913319637e-07,0.5000000000000001,6.412283236349011e-07,0.5000000000000001,8.565059490461098e-07
0.5200000000000001,3.084081247637374e-07,0.5200000000000001,6.223686068388619e-07,0.5200000000000001,9.367543402406979e-07,0.5200000000000001,1.251292504423529e-06
0.5400000000000001,4.40643223026804e-07,0.5400000000000001,8.894701129055037e-07,0.5400000000000001,1.338891963285713e-06,0.5400000000000001,1.788527634984109e-06
0.5600000000000002,6.147757671858313e-07,0.5600000000000002,1.241338239008046e-06,0.5600000000000002,1.868712159909065e-06,0.5600000000000002,2.496378527121724e-06
0.5800000000000002,8.36768372062881e-07,0.5800000000000002,1.690084647883552e-06,0.5800000000000002,2.544479777147336e-06,0.5800000000000002,3.399264853845602e-06
0.6000000000000002,1.111219373033852e-06,0.6000000000000002,2.245059053735267e-06,0.6000000000000002,3.380298478335016e-06,0.6000000000000002,4.516045290676164e-06
0.6200000000000002,1.441236987163109e-06,0.6200000000000002,2.912586315285214e-06,0.6200000000000002,4.385711010602618e-06,0.6200000000000002,5.859481030841016e-06
0.6400000000000002,1.828579766658488e-06,0.6400000000000002,3.696246287594531e-06,0.6400000000000002,5.566118825618193e-06,0.6400000000000002,7.436795303654629e-06
0.6600000000000003,2.273947129180829e-06,0.6600000000000003,4.597461385105224e-06,0.6600000000000003,6.923667036574898e-06,0.6600000000000003,9.250855858330712e-06
0.6800000000000003,2.777305147307858e-06,0.6800000000000003,5.616158126148277e-06,0.6800000000000003,8.458241999826095e-06,0.6800000000000003,1.130150869103658e-05
0.7000000000000003,3.338173003695494e-06,0.7000000000000003,6.751350084613248e-06,0.7000000000000003,1.016835095241387e-05,0.7000000000000003,1.358675444395402e-05
0.7200000000000003,3.955839274186015e-06,0.7200000000000003,8.001578706278263e-06,0.7200000000000003,1.205178747342594e-05,0.7200000000000003,1.610363855837987e-05
0.7400000000000003,4.629507025610947e-06,0.7400000000000003,9.365209408922172e-06,0.7400000000000003,1.410607864360106e-05,0.7400000000000003,1.884884951920164e-05
0.7600000000000003,5.358380863199893e-06,0.7600000000000003,1.084060944592132e-05,0.7600000000000003,1.632875374803017e-05,0.7600000000000003,2.181907840812288e-05
0.7800000000000004,6.141712487469844e-06,0.7800000000000004,1.24262411568852e-05,0.7800000000000004,1.871748522398084e-05,0.7800000000000004,2.501120755180425e-05
0.8000000000000004,6.978819415220447e-06,0.8000000000000004,1.412070043646776e-05,0.8000000000000004,2.127014687108574e-05,0.8000000000000004,2.842238847210232e-05
0.8200000000000004,7.869087889225247e-06,0.8200000000000004,1.592272289437787e-05,0.8200000000000004,2.398482325108297e-05,0.8200000000000004,3.205005452214368e-05
0.8400000000000004,8.811967458915279e-06,0.8400000000000004,1.783117297307586e-05,0.8400000000000004,2.685979333095453e-05,0.8400000000000004,3.589189905081912e-05
0.8600000000000004,9.80696191804802e-06,0.8600000000000004,1.98450255914219e-05,0.8600000000000004,2.989350282159473e-05,0.8600000000000004,3.994583843242519e-05
0.8800000000000004,1.085361931594877e-05,0.8800000000000004,2.196334586549146e-05,0.8800000000000004,3.30845335985245e-05,0.8800000000000004,4.420997118361221e-05
0.9000000000000005,1.195152247542003e-05,0.9000000000000005,2.41852698380513e-05,0.9000000000000005,3.643157463471116e-05,0.9000000000000005,4.868253909637953e-05
0.9200000000000005,1.310028066551282e-05,0.9200000000000005,2.650998754523857e-05,0.9200000000000005,3.993339645429383e-05,0.9200000000000005,5.336189307617498e-05
0.9400000000000005,1.429952262692346e-05,0.9400000000000005,2.893672882856057e-05,0.9400000000000005,4.35888297254796e-05,0.9400000000000005,5.824646451344791e-05
0.9600000000000005,1.554889090892603e-05,0.9600000000000005,3.146475181185424e-05,0.9600000000000005,4.739674787272967e-05,0.9600000000000005,6.333474202917275e-05
0.9800000000000005,1.684803736504598e-05,0.9800000000000005,3.40933337340517e-05,0.9800000000000005,5.135605324247465e-05,0.9800000000000005,6.862525297188172e-05
1,1.819661961536164e-05,1,3.682176374770698e-05,1,5.546566623414766e-05,1,7.411654887974205e-05
