/N0/D (L=6) X,/N0/D (L=6) Y,/N0/D (L=12) X,/N0/D (L=12) Y,/N0/D (L=18) X,/N0/D (L=18) Y,/N0/D (L=24) X,/N0/D (L=24) Y
0,1.117674594772024e-12,0,1.226430628945395e-12,0,1.335376605775048e-12,0,1.444388698557818e-12
0.1,3.974799512689702e-12,0.1,6.969643227173441e-12,0.1,9.969703741107934e-12,0.1,1.29715807042388e-11
0.2,7.941064531324374e-11,0.2,1.586405744972431e-10,0.2,2.380067361060642e-10,0.2,3.174204058013907e-10
0.3,1.73991951814466e-09,0.3,3.500189653189407e-09,0.3,5.263336678886343e-09,0.3,7.027492924971652e-09
0.4,2.443561792574532e-08,0.4,4.924390879963094e-08,0.4,7.408913643348724e-08,0.4,9.894745819903804e-08
0.5,2.111819277721651e-07,0.5,4.260567913319627e-07,0.5,6.412283236348993e-07,0.5,8.565059490461078e-07
0.6,1.111219373033849e-06,0.6,2.245059053735261e-06,0.6,3.380298478335005e-06,0.6,4.516045290676149e-06
0.7,3.338173003695482e-06,0.7,6.751350084613228e-06,0.7,1.016835095241385e-05,0.7,1.358675444395398e-05
0.7999999999999999,6.978819415220431e-06,0.7999999999999999,1.412070043646772e-05,0.7999999999999999,2.127014687108568e-05,0.7999999999999999,2.842238847210225e-05
0.8999999999999999,1.195152247542e-05,0.8999999999999999,2.418526983805123e-05,0.8999999999999999,3.643157463471106e-05,0.8999999999999999,4.868253909637941e-05
1,1.819661961536164e-05,1,3.682176374770698e-05,1,5.546566623414766e-05,1,7.411654887974205e-05
